S.A.W. Technology,,
,QTY,Price in CAD
Fronius Primo 3.8-1 Full,,1750
Fronius Primo 5.0-1 Full,,1860
Fronius Primo 6.0-1 Full,,2030
Fronius Primo 7.6-1 Full,23,2420
Fronius Primo 8.2-1 Full,12,2560
Fronius Primo 10.0-1 Full,5,3500
Fronius Primo 11.4-1 Full,,3900
Fronius Primo 12.5-1 Full,,4200
Fronius Primo 15.0-1 Full,2,4720
,,
Fronius Symo 15.0-3 208-240V Lite,1,3840
Fronius Symo 15.0-3 480 Lite,5,3030
Fronius Symo Advanced 10.0-3 208 Lite,6,3780
Fronius Symo Advanced 12.0-3 208 Lite,4,4460
Fronius Symo Advanced 15.0-3 480 Lite,3,3840
Fronius Symo Advanced 20.0-3 480 Lite,17,3150
Fronius Symo Advanced 24.0-3 480 Lite,,3560
Fronius Datamanager 2.0,67,358
Fronius DUO Rapid shutdown,9,262
Fronius Quattro Rapid shutdown,12,450
Fronius Smartmeter 240V-3,2,300
,,
SolarEdge SE3800H-US SetApp 3.8kW,35,1880
SolarEdge SE5000H-US SetApp 5kW,43,1790
SolarEdge SE6000H-US SetApp 6kW,56,1780
SolarEdge SE7600H-US SetApp 7.6kW,15,2430
SolarEdge SE10000H-US SetApp 10kW,,3250
SolarEdge SE11400H-US SetApp 11.4kW,1,3430
SolarEdge SE14.4K-USR2IBNU4,,4180
SolarEdge Home Hub SE3800H-USMNBBL14,23,4000
SolarEdge Home Hub SE6000H-USSNBBL14,22,3730
SolarEdge Home Hub SE7600H-USSNBBL14,28,4120
SolarEdge Home Hub SE10000H-USSNBBL14,28,4950
SolarEdge Home Hub SE11400H-USSNBBL14,33,5080
,,
SolarEdge SE14.4K-USR28BNU4,1,4200
SolarEdge SE20KUS-SetApp 3-ph,11,2040
SolarEdge SE30K-USR8IBNZ4 3-ph,1,3300
,,
SolarEdge S440,756,112
SolarEdge P505,856,108
SolarEdge P950,486,112
SolarEdge P1201,698,120
,,
SMA Sunny Boy 3.8-1SP-US-41 no wifi,6,1960
SMA Sunny Tripower CORE1-US-STP50-US-41,20,8880
SMA Sunny Tripower CORE1-US-STP62-US-41,15,8300
,,
Enphase IQ8PLUS-72-2-US,1255,222
Enphase IQ8M-72-2-US,,258
Enphase IQ8A-72-2-US,,272
Enphase X2-IQ-AM1-240-4 AC combiner,,900
Enphase IQ load controller EP-NA-LK02-040,45,740
,,
Enphase Q cable portrait,,19.5
Enphase Q cable landscape (60 cell),1353,24
Enphase Q cable landscape (60 and 72 cell),432,42
Enphase Q cable terminator cap,15,21.5
,,
,,
Growatt SPF 3500TL LVM-US 3500W 48V,16,900
,,
Schneider Conext SW4024 4000W 24V inverter,2,2260
Schneider Conext SW4048 4000W 48V inverter,2,2390
Schneider Conext SW DC distribution panel,2,575
Schneider Conext SW AC distribution panel,2,780
Schneider Conext MPPT 60-150 controller,2,900
Schneider Insight Home,2,595
,,
Epever XTRA 2210N-XDS2 20A MPPT controller,25,125
Epever XTRA 3210N-SDS2 30A MPPT controller,28,140
Epever XTRA 4215N-XDS2 40A MPPT controller,60,170
Epever Tracer 10415N 100A MPPT controller,12,500
Epever MT50 remote,20,39
Epever eBox bluetooth,17,35
,,
Midnite Classic 150,2,935
Midnite Classic 200,2,935
Midnite Classic 250,2,1085
,,
Morningstar TS-MPPT-30,5,470
Morningstar TS-MPPT-45,5,630
Morningstar TS-MPPT-60,5,840
,,
Lithium battery,,
FBTech FBTech32-48100 5 kWh 48V,16,2100
Simpliphi PHI 3.8-M-24V,7,3810
Simpliphi PHI 3.8-M-48V,7,3810
